"field_path","count","percent_of_records","description"
"sourceToolUseID",7,0.015472,"Auto-generated: field sourceToolUseID in path sourceToolUseID."
"toolUseResult.commandName",7,0.015472,"Serialized local tool execution result payload."
"toolUseResult.matches",7,0.015472,"Serialized local tool execution result payload."
"toolUseResult.total_deferred_tools",7,0.015472,"Serialized local tool execution result payload."
"data.message.message.content[].input.-i",6,0.013262,"Embedded message record within progress events."
"data.message.message.content[].input.addBlockedBy",6,0.013262,"Embedded message record within progress events."
"data.resultCount",6,0.013262,"Auto-generated: field resultCount in path data.resultCount."
"message.content[].input.context_lines",6,0.013262,"Tool invocation input payload (shape varies by tool)."
"toolUseResult.oldTodos[].activeForm",6,0.013262,"Serialized local tool execution result payload."
"toolUseResult.oldTodos[].content",6,0.013262,"Serialized local tool execution result payload."
"toolUseResult.oldTodos[].status",6,0.013262,"Serialized local tool execution result payload."
"data.message.message.content[].input.-A",5,0.011051,"Embedded message record within progress events."
"toolUseResult.answers",5,0.011051,"Serialized local tool execution result payload."
"toolUseResult.questions",5,0.011051,"Serialized local tool execution result payload."
"toolUseResult.questions[].header",5,0.011051,"Serialized local tool execution result payload."
"toolUseResult.questions[].multiSelect",5,0.011051,"Serialized local tool execution result payload."
"toolUseResult.questions[].options",5,0.011051,"Serialized local tool execution result payload."
"toolUseResult.questions[].options[].description",5,0.011051,"Serialized local tool execution result payload."
"toolUseResult.questions[].options[].label",5,0.011051,"Serialized local tool execution result payload."
"toolUseResult.questions[].question",5,0.011051,"Serialized local tool execution result payload."
"data.normalizedMessages[].message.content[].input.limit",4,0.008841,"Normalized message payload emitted by agent progress."
"leafUuid",4,0.008841,"Leaf UUID associated with summary records."
"summary",4,0.008841,"Conversation summary text."
"toolUseResult.command",4,0.008841,"Serialized local tool execution result payload."
"toolUseResult.task_id",4,0.008841,"Serialized local tool execution result payload."
"toolUseResult.task_type",4,0.008841,"Serialized local tool execution result payload."
"customTitle",3,0.006631,"User-defined session title."
"message.content[].input.allowedPrompts",3,0.006631,"Tool invocation input payload (shape varies by tool)."
"message.content[].input.allowedPrompts[].prompt",3,0.006631,"Tool invocation input payload (shape varies by tool)."
"message.content[].input.allowedPrompts[].tool",3,0.006631,"Tool invocation input payload (shape varies by tool)."
"message.content[].input.resume",3,0.006631,"Tool invocation input payload (shape varies by tool)."
"message.content[].input.max_turns",2,0.004421,"Tool invocation input payload (shape varies by tool)."
"toolUseResult.numMatches",2,0.004421,"Serialized local tool execution result payload."
"toolUseResult.tasks",2,0.004421,"Serialized local tool execution result payload."
"toolUseResult.tasks[].blockedBy",2,0.004421,"Serialized local tool execution result payload."
"toolUseResult.tasks[].id",2,0.004421,"Serialized local tool execution result payload."
"toolUseResult.tasks[].status",2,0.004421,"Serialized local tool execution result payload."
"toolUseResult.tasks[].subject",2,0.004421,"Serialized local tool execution result payload."
"error",1,0.002210,"Auto-generated: field error in path error."
"maxRetries",1,0.002210,"Auto-generated: field maxRetries in path maxRetries."
"message.content[].input.kind_filter",1,0.002210,"Tool invocation input payload (shape varies by tool)."
"message.context_management.applied_edits",1,0.002210,"Auto-generated: field applied_edits in path message.context_management.applied_edits."
"retryAttempt",1,0.002210,"Auto-generated: field retryAttempt in path retryAttempt."
"retryInMs",1,0.002210,"Auto-generated: field retryInMs in path retryInMs."
"todos[].activeForm",1,0.002210,"Auto-generated: field activeForm in path todos[].activeForm."
"todos[].content",1,0.002210,"Auto-generated: field content in path todos[].content."
"todos[].status",1,0.002210,"Auto-generated: field status in path todos[].status."
"toolUseResult.annotations",1,0.002210,"Serialized local tool execution result payload."
"toolUseResult.annotations.Do you want to start the platform SDK as a separate effort alongside Forge, or build Forge first and extract the SDK patterns from it afterwards?",1,0.002210,"Serialized local tool execution result payload."
"toolUseResult.annotations.Do you want to start the platform SDK as a separate effort alongside Forge, or build Forge first and extract the SDK patterns from it afterwards?.notes",1,0.002210,"Serialized local tool execution result payload."
"toolUseResult.annotations.How many people on the team and what are their strengths? (Rust, TypeScript, Svelte, infra, etc.)",1,0.002210,"Serialized local tool execution result payload."
"toolUseResult.annotations.How many people on the team and what are their strengths? (Rust, TypeScript, Svelte, infra, etc.).notes",1,0.002210,"Serialized local tool execution result payload."
"toolUseResult.annotations.Which vertical CLI after Forge feels most urgent? The one you'd actually use day-to-day.",1,0.002210,"Serialized local tool execution result payload."
"toolUseResult.annotations.Which vertical CLI after Forge feels most urgent? The one you'd actually use day-to-day..notes",1,0.002210,"Serialized local tool execution result payload."
"toolUseResult.answers.Cloudflare Turnstile has three widget modes. Which do you prefer?",1,0.002210,"Serialized local tool execution result payload."
"toolUseResult.answers.Do you want to start the platform SDK as a separate effort alongside Forge, or build Forge first and extract the SDK patterns from it afterwards?",1,0.002210,"Serialized local tool execution result payload."
"toolUseResult.answers.How many people on the team and what are their strengths? (Rust, TypeScript, Svelte, infra, etc.)",1,0.002210,"Serialized local tool execution result payload."
"toolUseResult.answers.IE and NZ are currently 'optional regions' with 0 daily quota. Should they become primary regions with daily quotas like the others, or remain as optional (opportunistic collection only)?",1,0.002210,"Serialized local tool execution result payload."
"toolUseResult.answers.Should we rename the API field from recaptcha_token to turnstile_token? This is a breaking API change but keeps naming accurate.",1,0.002210,"Serialized local tool execution result payload."
"toolUseResult.answers.The Instagram/YouTube fields ARE in the code and CSV export. The data might be missing from TikTok's API responses. How would you like to investigate?",1,0.002210,"Serialized local tool execution result payload."
"toolUseResult.answers.The pre-push hook requires the backend server to be running. Should I use --no-verify to push, or would you prefer to start the backend first?",1,0.002210,"Serialized local tool execution result payload."
"toolUseResult.answers.What outstanding work should be kept in the updated session file? I listed what I think is pending above.",1,0.002210,"Serialized local tool execution result payload."
"toolUseResult.answers.Which vertical CLI after Forge feels most urgent? The one you'd actually use day-to-day.",1,0.002210,"Serialized local tool execution result payload."
"toolUseResult.persistedOutputPath",1,0.002210,"Serialized local tool execution result payload."
"toolUseResult.persistedOutputSize",1,0.002210,"Serialized local tool execution result payload."
